TIME (UTC),y,x,STATION_NAME,TEMP (degC),STATION_PRESSURE (kPa),RELATIVE_HUMIDITY (%),DEW_POINT_TEMP (degC),WIND_SPEED (km/h),WIND_DIRECTION (deg),RAIN_AMOUNT (mm/hr),SNOW_AMOUNT (mm/hr
2024-01-02 15:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.554779767,102.28778798329999,74.428999283,-28.770045367,14.497437826800002,311.071559,,0.0
2024-01-02 16:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.175029433,102.29420755,74.86087985,-29.3102056,14.4146046348,314.958517167,,0.0
2024-01-02 17:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.3286739,102.30798538330001,73.903496517,-29.596455317,16.199353746,318.072819667,,0.0
2024-01-02 18:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.2604521,102.3298715167,73.221163917,-30.598270767,15.878781896400001,314.424826667,,0.0
2024-01-02 19:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.085251733,102.3538081833,73.005611267,-31.42866955,11.924072305200001,298.338619833,,0.0
2024-01-02 20:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.229292183,102.38034015,72.512541233,-31.639161183,15.4888772508,308.170906667,,0.0
2024-01-02 21:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.392217867,102.3894972167,72.2183429,-31.839265417,15.1595487792,307.862747667,,0.0
2024-01-02 22:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.415283933,102.37784645,71.879723017,-31.910501333,15.348373128,305.5801575,,0.0
2024-01-02 23:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.738845433,102.3610797833,71.61675925,-32.2616839,16.5533918508,304.905657167,,0.0
2024-01-03 00:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.921095383,102.3309363167,71.6975647,-32.426321917,13.836376116,294.517986167,,0.0
2024-01-03 01:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.718362367,102.3058811,71.565459883,-32.24931225,16.500761571600002,306.839721833,,0.0
2024-01-03 02:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.62366555,102.2765048167,70.996861583,-32.240561733,18.2105384904,312.1562095,,0.0
2024-01-03 03:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.97653245,102.26811191670001,70.966506983,-32.58613475,12.5211895416,291.433940833,,0.0
2024-01-03 04:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.817103733,102.2502229167,70.77583305,-32.45994375,14.744170486799998,301.587966333,,0.0
2024-01-03 05:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.866717633,102.2495581667,71.0332038,-32.47017925,10.6786603044,297.144309667,,0.0
2024-01-03 06:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.418211667,102.22390235,71.12810725,-32.0227409,17.103304868400002,304.287930333,,0.0
2024-01-03 07:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.935719733,102.1773058167,71.0618405,-31.566076917,20.509081174800002,308.9883175,,0.0
2024-01-03 08:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.916257467,102.1612091833,71.39616015,-31.4982591,16.6445447724,295.197177333,,0.0
2024-01-03 09:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.244517767,102.1253839667,71.988742217,-31.729539017,20.5923689136,283.026928167,,0.0
2024-01-03 10:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.745260567,102.07368961670001,72.618151483,-31.15495315,21.1440190824,285.568824333,,0.0
2024-01-03 11:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.6451123,102.03495503330001,72.758543767,-30.07014495,17.057156706,304.794467167,,0.0
2024-01-03 12:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.140492567,102.01178575,69.987046217,-30.957974417,15.5307395844,316.969427833,,0.0
2024-01-03 13:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.099196333,101.9908286,69.843381617,-30.939689883,14.947049883599998,315.673498,,0.0
2024-01-03 14:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.536895933,101.9372209667,70.513759167,-31.261997983,13.8172818708,307.973650167,,0.0
2024-01-03 15:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.58808995,101.8970269833,70.439366883,-32.288135517,17.110177959599998,312.387084,,0.0
2024-01-03 16:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-29.188486433,101.8621748667,69.17889585,-33.054243483,15.552858146399998,318.082069833,,0.0
2024-01-03 17:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-29.45703065,101.8248485833,69.206706067,-33.308928983,18.778020552,313.1132895,,0.0
2024-01-03 18:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-29.2404359,101.79292745000001,69.157081917,-33.107628383,20.245843368,314.532710167,,0.0
2024-01-03 19:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-29.704650117,101.77611885,70.187987633,-33.403161067,18.450362426399998,307.980181333,,0.0
2024-01-03 20:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.627481083,101.7454510667,70.73522535,-32.282520967,24.432954386400002,311.2500745,,0.0
2024-01-03 21:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.547664717,101.7336854167,71.747598567,-31.090303283,26.218822446,312.272078,,0.0
2024-01-03 22:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.9774533,101.71815405,71.847217317,-30.524062017,20.294155206000003,312.6207695,,0.0
2024-01-03 23:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.826421017,101.6811325,71.713821583,-30.397558933,15.4525593024,320.081443527,,0.0
2024-01-04 00:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.741341233,101.6487304167,71.683899717,-30.3196803,14.6595181968,326.593597167,,0.0
2024-01-04 01:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.628117883,101.63648859999999,72.1430973,-30.142597467,14.9074063452,313.841660833,,0.0
2024-01-04 02:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.971075783,101.61963305,71.990445,-29.529282117,12.723301918799999,317.0453335,,0.0
2024-01-04 03:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.536700883,101.5829958667,72.426578417,-29.044448633,14.309928727199999,310.755623,,0.0
